,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,0.0,0.0,2.0,2,2,2,B.Portis o8.5 Rebs,PropBetGuy,-115,1.15,2.1499999999999995,0,Milwaukee Bucks,B.Portis,New York Knicks,0,0.9999999999999996,0.6976744186046512,1.0,0.4,0.0,0.7,1.0
5,5.0,5.0,13.0,13,13,13,N.Vucevic o10.5 Rebs,JoeDellera,-125,0.4,0.7200000000000001,0,Chicago Bulls,N.Vucevic,Boston Celtics,0,0.32,0.5454545454545454,1.0,0.8,1.0,0.8,1.0
6,6.0,6.0,14.0,14,14,14,N.Vucevic o10.5 Rebs,PropBetGuy,-125,1.0,1.8,0,Chicago Bulls,N.Vucevic,Boston Celtics,0,0.8,0.5454545454545454,1.0,0.8,1.0,0.8,1.0
2,,,,2,2,2,B.Portis o8.5 Rebs,PropBetGuy,-115,1.15,2.1499999999999995,0,Milwaukee Bucks,B.Portis,New York Knicks,0,0.9999999999999996,,,,,,
13,,,,13,13,13,N.Vucevic o10.5 Rebs,JoeDellera,-125,0.4,0.7200000000000001,0,Chicago Bulls,N.Vucevic,Boston Celtics,0,0.32,,,,,,
14,,,,14,14,14,N.Vucevic o10.5 Rebs,PropBetGuy,-125,1.0,1.8,0,Chicago Bulls,N.Vucevic,Boston Celtics,0,0.8,,,,,,
