,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,1.0,1,C.Thomas u24.5 Pts,Brooklyn Nets,SBK5065,-114,0.57,1.0699999999999998,0.0,C.Thomas,Phoenix Suns,1,0.4999999999999999,0.9166666666666666,1.0,0.6,1.0,0.8,1.0
4,5.0,5,D.Booker u20.5 Pts,Phoenix Suns,JoeDellera,-115,0.58,1.0843478260869563,0.0,D.Booker,Brooklyn Nets,0,0.5043478260869564,0.3448275862068966,0.0,0.8,1.0,0.6,1.0
5,6.0,6,M.Bridges o16.5 Pts,Phoenix Suns,GreenDotDaily,-120,1.0,1.8333333333333333,-0.3113999999999999,M.Bridges,Brooklyn Nets,0,0.8333333333333335,0.4727272727272727,0.0,1.0,1.0,0.9,1.0
6,7.0,7,J.Harris u9.5 Pts,Brooklyn Nets,PropBetGuy,-100,1.0,2.0,-4.470000000000002,J.Harris,Phoenix Suns,1,1.0,0.6086956521739131,1.0,0.6,1.0,0.6,1.0
10,12.0,12,Z.LaVine u24.5 Pts,Chicago Bulls,PropBetGuy,-120,1.2,2.2,-4.470000000000002,Z.LaVine,Memphis Grizzlies,0,1.0000000000000002,0.5918367346938775,1.0,0.6,1.0,0.6,1.0
11,13.0,13,L.James u33.5 Pts,Los Angeles Lakers,SBK5065,-115,0.5,0.934782608695652,18.978,L.James,Oklahoma City Thunder,1,0.4347826086956521,0.7209302325581395,1.0,0.8,1.0,0.6,1.0
12,14.0,14,L.James u32.5 Pts,Los Angeles Lakers,SBK5065,-105,0.5,0.9761904761904762,0.0,L.James,Oklahoma City Thunder,1,0.4761904761904761,0.6744186046511628,1.0,0.8,1.0,0.6,1.0
13,16.0,16,L.James u33.5 Pts,Los Angeles Lakers,JoeDellera,-110,0.75,1.431818181818182,8.731300000000001,L.James,Oklahoma City Thunder,1,0.6818181818181819,0.7209302325581395,1.0,0.8,1.0,0.6,1.0
14,17.0,17,L.James u33.5 Pts,Los Angeles Lakers,JoeMetz,-115,1.15,2.1499999999999995,1.861000000000001,L.James,Oklahoma City Thunder,1,0.9999999999999996,0.7209302325581395,1.0,0.8,1.0,0.6,1.0
15,18.0,18,L.James u32.5 Pts,Los Angeles Lakers,HPBasketball,-110,1.1,2.1,2.9594000000000005,L.James,Oklahoma City Thunder,1,1.0,0.6744186046511628,1.0,0.8,1.0,0.6,1.0
1,,1,C.Thomas u24.5 Pts,Brooklyn Nets,SBK5065,-114,0.57,1.0699999999999998,0.0,C.Thomas,Phoenix Suns,1,0.4999999999999999,,,,,,
5,,5,D.Booker u20.5 Pts,Phoenix Suns,JoeDellera,-115,0.58,1.0843478260869563,0.0,D.Booker,Brooklyn Nets,0,0.5043478260869564,,,,,,
6,,6,M.Bridges o16.5 Pts,Phoenix Suns,GreenDotDaily,-120,1.0,1.8333333333333333,-0.3113999999999999,M.Bridges,Brooklyn Nets,0,0.8333333333333335,,,,,,
7,,7,J.Harris u9.5 Pts,Brooklyn Nets,PropBetGuy,-100,1.0,2.0,-4.470000000000002,J.Harris,Phoenix Suns,1,1.0,,,,,,
12,,12,Z.LaVine u24.5 Pts,Chicago Bulls,PropBetGuy,-120,1.2,2.2,-4.470000000000002,Z.LaVine,Memphis Grizzlies,0,1.0000000000000002,,,,,,
13,,13,L.James u33.5 Pts,Los Angeles Lakers,SBK5065,-115,0.5,0.934782608695652,18.978,L.James,Oklahoma City Thunder,1,0.4347826086956521,,,,,,
14,,14,L.James u32.5 Pts,Los Angeles Lakers,SBK5065,-105,0.5,0.9761904761904762,0.0,L.James,Oklahoma City Thunder,1,0.4761904761904761,,,,,,
15,,15,R.Westbrook o14.5 Pts,Los Angeles Lakers,charliedisturco,105,0.5,1.025,2.6343,R.Westbrook,Oklahoma City Thunder,1,0.5249999999999999,,,,,,
16,,16,L.James u33.5 Pts,Los Angeles Lakers,JoeDellera,-110,0.75,1.431818181818182,8.731300000000001,L.James,Oklahoma City Thunder,1,0.6818181818181819,,,,,,
17,,17,L.James u33.5 Pts,Los Angeles Lakers,JoeMetz,-115,1.15,2.1499999999999995,1.861000000000001,L.James,Oklahoma City Thunder,1,0.9999999999999996,,,,,,
18,,18,L.James u32.5 Pts,Los Angeles Lakers,HPBasketball,-110,1.1,2.1,2.9594000000000005,L.James,Oklahoma City Thunder,1,1.0,,,,,,
