,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
0,8,16,G.Vincent o1.5 3pt M,SBK5065,-125,0.63,1.134,0,Miami Heat,G.Vincent,Philadelphia 76ers,0.0,0.5039999999999999
1,9,17,G.Vincent o2.5 3pt M,SBK5065,280,0.18,0.6839999999999999,0,Miami Heat,G.Vincent,Philadelphia 76ers,0.0,0.504
