,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,1,1,1,L.Doncic o50.5 Pts+Rebs+Ast,KurtisSenif,-121,0.4,0.7305785123966942,0,Dallas Mavericks,L.Doncic,Los Angeles Lakers,1,0.3305785123966942,,,,,,,,,
7,7,7,7,S.Dinwiddie u26.5 Pts+Rebs+Ast,PropBetGuy,-125,1.0,1.8,0,Dallas Mavericks,S.Dinwiddie,Los Angeles Lakers,1,0.8,,,,,,,,,
11,11,11,11,J.Poole u35.5 Pts+Rebs+Ast,PropBetGuy,-122,1.83,3.33,0,Golden State Warriors,J.Poole,Memphis Grizzlies,1,1.5,,,,,,,,,
12,12,12,12,D.DiVincenzo o21.5 Pts+Rebs+Ast,JoeMetz,-104,1.0,1.9615384615384617,0,Golden State Warriors,D.DiVincenzo,Memphis Grizzlies,1,0.9615384615384616,,,,,,,,,
24,24,24,24,C.Paul o27.5 Pts+Rebs+Ast,KurtisSenif,-129,0.22,0.3905426356589147,0,Phoenix Suns,C.Paul,Denver Nuggets,0,0.1705426356589147,,,,,,,,,
28,28,28,28,J.Brunson u30.5 Pts+Rebs+Ast,SBK5065,-115,0.58,1.0843478260869563,0,New York Knicks,J.Brunson,Philadelphia 76ers,1,0.5043478260869564,,,,,,,,,
3,11,11,11,J.Poole u35.5 Pts+Rebs+Ast,PropBetGuy,-122,1.83,3.33,0,Golden State Warriors,J.Poole,Memphis Grizzlies,1,1.5,3.0,3.0,11.0,0.813953488372093,1.0,0.8,1.0,0.6,1.0
