,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
9,9.0,9.0,30.0,30,30,30,M.Robinson u16.5 Pts+Rebs,JoeDellera,-105,0.35,0.6833333333333332,0,New York Knicks,M.Robinson,Philadelphia 76ers,1,0.3333333333333332,0.4722222222222222,0.0,0.6,1.0,0.5,0.0
22,,,,22,22,22,C.Paul o17.5 Pts+Rebs,KurtisSenif,-108,0.26,0.5007407407407408,0,Phoenix Suns,C.Paul,Denver Nuggets,0,0.2407407407407408,,,,,,
25,,,,25,25,25,M.Porter u20.5 Pts+Rebs,KurtisSenif,-119,0.25,0.4600840336134454,0,Denver Nuggets,M.Porter,Phoenix Suns,1,0.2100840336134454,,,,,,
