,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit
0,2,B.Lopez o1.5 3pt M,Milwaukee Bucks,SBK5065,-118,0.59,1.09,14.6075,B.Lopez,Miami Heat,1,0.4999999999999999
1,6,B.Lopez o1.5 3pt M,Milwaukee Bucks,JoeDellera,-120,0.15,0.275,0.0,B.Lopez,Miami Heat,1,0.125
