,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,9.0,9,9,K.Hayes o24.5 Pts+Rebs+Ast,charliedisturco,-110,0.55,1.05,0,Detroit Pistons,K.Hayes,Chicago Bulls,1,0.5,0.2954545454545454,0.0,0.6,1.0,0.6,1.0
9,,9,9,K.Hayes o24.5 Pts+Rebs+Ast,charliedisturco,-110,0.55,1.05,0,Detroit Pistons,K.Hayes,Chicago Bulls,1,0.5,,,,,,
12,,12,12,T.Craig u17.5 Pts+Rebs+Ast,PropBetGuy,-125,1.0,1.8,0,Phoenix Suns,T.Craig,Brooklyn Nets,1,0.8,,,,,,
