,Unnamed: 0.1,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,6.0,6,W.Carter o8.5 Rebs,Orlando Magic,SBK5065,-104,0.52,1.02,0.0,W.Carter,Boston Celtics,1,0.5,0.5555555555555556,1.0,0.8,1.0,0.6,1.0
6,,6,W.Carter o8.5 Rebs,Orlando Magic,SBK5065,-104,0.52,1.02,0.0,W.Carter,Boston Celtics,1,0.5,,,,,,
