,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,E.Gordon o15.5 Pts,PropBetGuy,-120,1.0,E.Gordon,Phoenix Suns,San Antonio Spurs,1,1.8333333333333333,0.8333333333333335,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
7,J.Suggs o9.5 Pts,charliedisturco,-115,0.5,J.Suggs,Orlando Magic,Los Angeles Clippers,0,0.934782608695652,0.4347826086956521,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
0,T.Jones o7.5 Pts,MikeRandle,-130,0.77,T.Jones,San Antonio Spurs,Phoenix Suns,0,1.3623076923076922,0.5923076923076922,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
