,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
6,6,6,6,K.Hayes o5.5 Ast,SBK5065,-122,0.61,1.11,-3.8426,Detroit Pistons,K.Hayes,Brooklyn Nets,1,0.5000000000000001
4,4,4,4,T.Haliburton o10.5 Ast,JoeMetz,110,1.0,2.1,-22.21,Indiana Pacers,T.Haliburton,New York Knicks,1,1.1
