,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
4,16.0,16,17,M.Turner o1.5 3pt M,JoeDellera,110,0.17,0.357,0,Indiana Pacers,M.Turner,Cleveland Cavaliers,1.0,0.1869999999999999,0.4888888888888889,0.0,0.8,1.0,0.7,1.0
16,,16,17,M.Turner o1.5 3pt M,JoeDellera,110,0.17,0.357,0,Indiana Pacers,M.Turner,Cleveland Cavaliers,1.0,0.1869999999999999,,,,,,
