,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit
14,14,14,14,L.Ball o38.5 Pts+Rebs+Ast,JoeDellera,-110,0.5,0.9545454545454546,0,Charlotte Hornets,L.Ball,Oklahoma City Thunder,1,0.4545454545454546
9,9,9,9,I.Zubac u19.5 Pts+Rebs+Ast,ChicagoFlow,-115,1.15,2.1499999999999995,0,Los Angeles Clippers,I.Zubac,Boston Celtics,0,0.9999999999999996
