,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,B.Lopez o2.5 Blk,SBK5065,-105,0.5,B.Lopez,Milwaukee Bucks,Indiana Pacers,1,0.9761904761904762,0.4761904761904761,0.5652173913043478,1,0.8,1,0.7,1,Y
1,1,1,1,M.Turner o28.5 Pts+Rebs+Ast,the_degenerates,-122,1.0,M.Turner,Indiana Pacers,Milwaukee Bucks,0,1.819672131147541,0.819672131147541,0.3181818181818182,0,0.4,0,0.3,0,Y
2,2,2,2,D.Lillard o26.5 Pts,Noto,-145,2.9,D.Lillard,Milwaukee Bucks,Indiana Pacers,1,4.9,2.0000000000000004,0.5238095238095238,1,0.2,0,0.5,0,N
3,3,3,3,D.Lillard o26.5 Pts,JayMoneyIsMoney23,-112,0.56,D.Lillard,Milwaukee Bucks,Indiana Pacers,1,1.06,0.5,0.5238095238095238,1,0.2,0,0.5,0,N
4,7,7,7,A.Sengun u10.5 Rebs,SBK5065,-120,0.83,A.Sengun,Houston Rockets,Memphis Grizzlies,1,1.5216666666666667,0.6916666666666668,0.8,1,0.8,1,0.7,1,Y
5,9,9,9,J.Nurkic o2.5 Ast,JoeDellera,-165,0.5,J.Nurkic,Phoenix Suns,Brooklyn Nets,1,0.803030303030303,0.303030303030303,0.7391304347826086,1,0.8,1,0.7,1,Y
6,11,11,11,Z.Williamson o24.5 Pts,the_degenerates,-113,1.13,Z.Williamson,New Orleans Pelicans,Washington Wizards,0,2.13,1.0,0.45,0,0.4,0,0.7,1,X
7,15,15,15,T.Young u41.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,T.Young,Atlanta Hawks,Toronto Raptors,0,2.1499999999999995,0.9999999999999996,0.65,1,0.6,1,0.4,0,N
8,16,16,16,S.Bey u15.5 Pts,SBK5065,-120,1.0,S.Bey,Atlanta Hawks,Toronto Raptors,0,1.8333333333333333,0.8333333333333335,0.6818181818181818,1,0.2,0,0.6,1,Y
9,19,19,19,O.Robinson o9.5 Pts,PropBomb,-120,1.2,O.Robinson,Miami Heat,Charlotte Hornets,1,2.2,1.0000000000000002,0.4444444444444444,0,0.4,0,0.4444444444444444,0,N
10,22,22,23,K.Hayes u10.5 Pts,SBK5065,-130,0.77,K.Hayes,Detroit Pistons,Philadelphia 76ers,1,1.3623076923076922,0.5923076923076922,0.6363636363636364,1,0.2,0,0.6,1,Y
