,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,D.DiVincenzo u16.5 Pts,cowhitchurch,-115,0.58,D.DiVincenzo,New York Knicks,Portland Trail Blazers,0,1.0843478260869563,0.5043478260869564,0.671875,1,0.6,1,0.6,1,Y
1,2,O.Anunoby o12.5 Pts,cowhitchurch,-135,0.68,O.Anunoby,New York Knicks,Portland Trail Blazers,0,1.1837037037037037,0.5037037037037037,0.6666666666666666,1,0.8,1,0.8,1,N
2,6,O.Anunoby o12.5 Pts,JoeDellera,-115,1.15,O.Anunoby,New York Knicks,Portland Trail Blazers,0,2.1499999999999995,0.9999999999999996,0.6666666666666666,1,0.8,1,0.8,1,N
3,7,D.Gafford u11.5 Pts,SBK5065,-125,1.0,D.Gafford,Dallas Mavericks,Oklahoma City Thunder,0,1.8,0.8,0.5,0,0.2,0,0.5,0,N
4,8,C.Holmgren u9.5 Rebs,cowhitchurch,-130,0.65,C.Holmgren,Oklahoma City Thunder,Dallas Mavericks,1,1.15,0.4999999999999999,0.676923076923077,1,0.6,1,0.6,1,Y
5,9,C.Holmgren u9.5 Rebs,SBK5065,-130,1.0,C.Holmgren,Oklahoma City Thunder,Dallas Mavericks,1,1.7692307692307692,0.7692307692307692,0.676923076923077,1,0.6,1,0.6,1,Y
6,10,B.Hyland u8.5 Rebs+Ast,SBK5065,-115,1.0,B.Hyland,Los Angeles Clippers,Chicago Bulls,0,1.869565217391304,0.8695652173913042,0.9615384615384616,1,1.0,1,1.0,1,N
7,11,N.Powell o15.5 Pts,TheBMatt,-115,1.15,N.Powell,Los Angeles Clippers,Chicago Bulls,0,2.1499999999999995,0.9999999999999996,0.3968253968253968,0,0.4,0,0.5,0,Y
8,12,D.DeRozan o10.5 Rebs+Ast,GDAWG5000,115,0.5,D.DeRozan,Chicago Bulls,Los Angeles Clippers,1,1.075,0.575,0.34375,0,0.8,1,0.7,1,N
9,13,D.DeRozan o10.5 Rebs+Ast,TheBMatt,115,0.5,D.DeRozan,Chicago Bulls,Los Angeles Clippers,1,1.075,0.575,0.34375,0,0.8,1,0.7,1,N
10,14,G.Antetokounmpo u32.5 Pts,gneiffer07,-113,1.13,G.Antetokounmpo,Milwaukee Bucks,Philadelphia 76ers,1,2.13,1.0,0.5714285714285714,1,0.4,0,0.5,0,Y
11,15,G.Antetokounmpo u44.5 Pts+Rebs,cowhitchurch,-115,0.58,G.Antetokounmpo,Milwaukee Bucks,Philadelphia 76ers,1,1.0843478260869563,0.5043478260869564,0.6507936507936508,1,0.6,1,0.7,1,Y
12,16,G.Allen u11.5 Pts,gneiffer07,-115,1.15,G.Allen,Phoenix Suns,Boston Celtics,0,2.1499999999999995,0.9999999999999996,0.5084745762711864,1,0.4,0,0.5,0,N
