,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,R.Westbrook o11.5 Pts+Rebs,VegasRefund,-125,1.25,R.Westbrook,Los Angeles Clippers,Dallas Mavericks,1,2.25,1.0,0.75,1,0.4,0,0.7,1,N
1,2,I.Zubac o25.5 Pts+Rebs,GreenDotDaily,-108,1.0,I.Zubac,Los Angeles Clippers,Dallas Mavericks,1,1.925925925925926,0.925925925925926,0.2083333333333333,0,0.4,0,0.4,0,N
2,3,N.Powell o11.5 Pts,charliedisturco,-120,1.0,N.Powell,Los Angeles Clippers,Dallas Mavericks,1,1.8333333333333333,0.8333333333333335,0.6625,1,0.2,0,0.4,0,Y
3,6,J.Harden u3.5 3pt M,cowhitchurch,-135,0.68,J.Harden,Los Angeles Clippers,Dallas Mavericks,1,1.1837037037037037,0.5037037037037037,0.7105263157894737,1,0.4,0,0.6,1,Y
4,7,N.Powell o11.5 Pts,cowhitchurch,-118,0.59,N.Powell,Los Angeles Clippers,Dallas Mavericks,1,1.09,0.4999999999999999,0.6625,1,0.2,0,0.4,0,Y
5,8,J.Harden u3.5 3pt M,PropBomb,-155,1.55,J.Harden,Los Angeles Clippers,Dallas Mavericks,1,2.55,0.9999999999999998,0.7105263157894737,1,0.4,0,0.6,1,Y
6,12,N.Powell o10.5 Pts,JoeDellera,-125,1.25,N.Powell,Los Angeles Clippers,Dallas Mavericks,1,2.25,1.0,0.725,1,0.4,0,0.6,1,Y
7,14,P.Pritchard o6.5 Pts,VegasRefund,-104,1.04,P.Pritchard,Boston Celtics,Miami Heat,1,2.04,1.0,0.5813953488372093,1,0.6,1,0.7,1,Y
8,15,D.White u3.5 3pt M,GDAWG5000,-155,0.78,D.White,Boston Celtics,Miami Heat,1,1.2832258064516129,0.5032258064516129,0.6883116883116883,1,0.6,1,0.7,1,N
9,16,D.White u3.5 3pt M,ChrisRaybon,-156,1.0,D.White,Boston Celtics,Miami Heat,1,1.641025641025641,0.641025641025641,0.6883116883116883,1,0.6,1,0.7,1,N
