,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,C.White o28.5 Pts+Rebs+Ast,the_degenerates,-120,1.0,C.White,Chicago Bulls,Milwaukee Bucks,0,1.8333333333333333,0.8333333333333335,0.3043478260869565,0,0.8,1,0.6,1,Y
1,1,1,1,N.Vucevic o33.5 Pts+Rebs+Ast,JoeDellera,-115,1.0,N.Vucevic,Chicago Bulls,Milwaukee Bucks,0,1.869565217391304,0.8695652173913042,0.3478260869565217,0,0.6,1,0.3,0,N
2,2,2,2,C.White o19.5 Pts,cowhitchurch,-110,0.5,C.White,Chicago Bulls,Milwaukee Bucks,0,0.9545454545454546,0.4545454545454546,0.2608695652173913,0,0.6,1,0.6,1,Y
3,3,3,3,G.Antetokounmpo o16.5 Rebs+Ast,kylemurray03,-115,0.87,G.Antetokounmpo,Milwaukee Bucks,Chicago Bulls,1,1.6265217391304347,0.7565217391304347,0.4285714285714285,0,0.6,1,0.7,1,Y
4,6,6,6,D.Exum o9.5 Rebs+Ast,JoeDellera,100,1.0,D.Exum,Dallas Mavericks,Memphis Grizzlies,0,2.0,1.0,0.2222222222222222,0,0.6,1,0.4,0,Y
5,7,7,7,L.Doncic o9.5 Ast,cowhitchurch,-105,1.05,L.Doncic,Dallas Mavericks,Memphis Grizzlies,0,2.05,0.9999999999999998,0.35,0,0.6,1,0.4,0,N
6,8,8,8,L.Doncic o9.5 Ast,JoeDellera,-105,0.75,L.Doncic,Dallas Mavericks,Memphis Grizzlies,0,1.4642857142857142,0.7142857142857142,0.35,0,0.6,1,0.4,0,N
7,9,9,9,J.Jackson o1.5 Blk,kylemurray03,104,1.04,J.Jackson,Memphis Grizzlies,Dallas Mavericks,1,2.1216,1.0816,0.3809523809523809,0,0.6,1,0.4,0,Y
8,10,10,10,D.Fox u31.5 Pts,PropBetGuy,-120,1.0,D.Fox,Sacramento Kings,Brooklyn Nets,1,1.8333333333333333,0.8333333333333335,0.6,1,0.6,1,0.6,1,Y
9,11,11,11,D.Sabonis u13.5 Rebs,kylemurray03,-115,1.0,D.Sabonis,Sacramento Kings,Brooklyn Nets,1,1.869565217391304,0.8695652173913042,0.65,1,0.6,1,0.7,1,N
10,12,12,12,M.Bridges o29.5 Pts+Rebs,kylemurray03,-118,1.0,M.Bridges,Charlotte Hornets,Miami Heat,1,1.847457627118644,0.847457627118644,0.3,0,0.2,0,0.3,0,N
11,14,14,14,F.VanVleet o26.5 Pts+Ast,the_degenerates,-120,1.2,F.VanVleet,Houston Rockets,San Antonio Spurs,1,2.2,1.0000000000000002,0.5555555555555556,1,0.6,1,0.6,1,N
12,16,16,16,I.Stewart o9.5 Pts,cowhitchurch,-130,0.5,I.Stewart,Detroit Pistons,Indiana Pacers,1,0.8846153846153846,0.3846153846153846,0.6818181818181818,1,0.4,0,0.5,0,Y
13,17,17,17,I.Stewart o9.5 Pts,SBK5065,-115,0.87,I.Stewart,Detroit Pistons,Indiana Pacers,1,1.6265217391304347,0.7565217391304347,0.6818181818181818,1,0.4,0,0.5,0,Y
14,18,18,18,M.Turner o2.5 Stl+Blk,kylemurray03,-120,0.83,M.Turner,Indiana Pacers,Detroit Pistons,0,1.5216666666666667,0.6916666666666668,1.0,1,1.0,1,1.0,1,Y
15,20,20,20,O.Robinson o9.5 Pts,PropBetGuy,-130,1.3,O.Robinson,Miami Heat,Charlotte Hornets,0,2.3,0.9999999999999998,0.5,0,0.6,1,0.5,0,N
16,24,24,24,O.Agbaji u10.5 Pts,SBK5065,-110,0.5,O.Agbaji,Utah Jazz,Oklahoma City Thunder,0,0.9545454545454546,0.4545454545454546,0.8181818181818182,1,0.6,1,0.7,1,Y
17,25,25,25,P.George o3.5 Ast,kylemurray03,-115,0.87,P.George,Los Angeles Clippers,Portland Trail Blazers,1,1.6265217391304347,0.7565217391304347,0.4761904761904761,0,0.6,1,0.6,1,Y
