,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,1,M.Christie o4.5 Pts,SBK5065,-105,0.53,M.Christie,Los Angeles Lakers,Phoenix Suns,1,1.0347619047619048,0.5047619047619047,0.625,1,1.0,1,0.8,1,N
1,2,2,2,M.Christie o4.5 Pts,JoeDellera,-105,0.53,M.Christie,Los Angeles Lakers,Phoenix Suns,1,1.0347619047619048,0.5047619047619047,0.625,1,1.0,1,0.8,1,N
2,4,4,4,L.James o7.5 Rebs,GreenDotDaily,-145,0.69,L.James,Los Angeles Lakers,Phoenix Suns,1,1.1658620689655173,0.4758620689655173,0.55,1,0.4,0,0.4,0,Y
3,5,5,5,C.Reddish u8.5 Pts,SBK5065,-130,0.77,C.Reddish,Los Angeles Lakers,Phoenix Suns,1,1.3623076923076922,0.5923076923076922,0.7058823529411765,1,0.8,1,0.5,0,Y
4,6,6,6,E.Gordon u2.5 Rebs,SBK5065,-175,1.0,E.Gordon,Phoenix Suns,Los Angeles Lakers,0,1.5714285714285714,0.5714285714285714,0.7777777777777778,1,0.8,1,0.8,1,N
5,9,9,9,A.Reaves o12.5 Pts,kylemurray03,-117,0.85,A.Reaves,Los Angeles Lakers,Phoenix Suns,1,1.5764957264957264,0.7264957264957265,0.6190476190476191,1,0.6,1,0.6,1,Y
6,10,10,10,D.Russell o13.5 Pts,kylemurray03,-130,1.0,D.Russell,Los Angeles Lakers,Phoenix Suns,1,1.7692307692307692,0.7692307692307692,0.6190476190476191,1,0.4,0,0.6,1,N
7,11,11,11,K.Durant o33.5 Pts+Ast,kylemurray03,-110,0.91,K.Durant,Phoenix Suns,Los Angeles Lakers,0,1.7372727272727273,0.8272727272727273,0.6666666666666666,1,0.8,1,0.8,1,Y
8,12,12,12,K.Durant o27.5 Pts,PropBetGuy,-125,1.2,K.Durant,Phoenix Suns,Los Angeles Lakers,0,2.16,0.9600000000000002,0.7222222222222222,1,0.8,1,0.9,1,Y
9,14,14,14,D.Lillard o6.5 Ast,daletanhardt,-140,0.71,D.Lillard,Milwaukee Bucks,New York Knicks,1,1.217142857142857,0.5071428571428571,0.4444444444444444,0,0.8,1,0.7,1,Y
10,15,15,15,J.Hart o5.5 Rebs,GreenDotDaily,-167,1.0,J.Hart,New York Knicks,Milwaukee Bucks,0,1.598802395209581,0.5988023952095807,0.631578947368421,1,0.8,1,0.7,1,N
11,17,17,17,B.Portis u7.5 Rebs,SBK5065,-110,1.0,B.Portis,Milwaukee Bucks,New York Knicks,1,1.9090909090909087,0.9090909090909092,0.65,1,0.4,0,0.6,1,Y
12,18,18,18,J.Hart o5.5 Rebs,JoeDellera,-120,1.2,J.Hart,New York Knicks,Milwaukee Bucks,0,2.2,1.0000000000000002,0.631578947368421,1,0.8,1,0.7,1,N
13,19,19,19,I.Quickley o17.5 Pts+Rebs+Ast,kylemurray03,-110,1.0,I.Quickley,New York Knicks,Milwaukee Bucks,0,1.9090909090909087,0.9090909090909092,0.631578947368421,1,0.6,1,0.5,0,N
