,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,0,0,C.Thomas o24.5 Pts+Rebs+Ast,kylemurray03,-110,1.0,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,1.9090909090909087,0.9090909090909092,0.8,1,0.8,1,0.8,1,N
1,1,1,1,C.Thomas o22.5 Pts+Rebs,kylemurray03,-145,1.0,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,1.6896551724137931,0.6896551724137931,0.7,1,0.8,1,0.7,1,N
2,2,2,2,N.Claxton o21.5 Pts+Rebs,SBK5065,-125,1.25,N.Claxton,Brooklyn Nets,Atlanta Hawks,0,2.25,1.0,0.5,0,0.6,1,0.5,0,N
3,3,3,3,C.Thomas u19.5 Pts,SBK5065,124,0.62,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,1.3888,0.7688,0.3,0,0.2,0,0.3,0,Y
4,4,4,4,C.Thomas o2.5 Rebs,Noto,-145,1.45,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,2.45,1.0000000000000002,0.6,1,0.6,1,0.6,1,N
5,5,5,5,C.Thomas o19.5 Pts,SBK5065,-105,0.53,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,1.0347619047619048,0.5047619047619047,0.7,1,0.8,1,0.7,1,N
6,6,6,6,C.Thomas o19.5 Pts,PropBomb,-105,1.05,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,2.05,0.9999999999999998,0.7,1,0.8,1,0.7,1,N
7,7,7,7,C.Thomas o19.5 Pts,JoeMetz,-105,1.05,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,2.05,0.9999999999999998,0.7,1,0.8,1,0.7,1,N
8,8,8,8,C.Thomas o19.5 Pts,PropBetGuy,110,1.0,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,2.1,1.1,0.7,1,0.8,1,0.7,1,N
9,9,9,9,C.Thomas o18.5 Pts,GoldBoys,-105,1.0,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,1.9523809523809523,0.9523809523809524,0.7,1,0.8,1,0.7,1,N
10,10,10,10,C.Thomas o18.5 Pts,TheBMatt,-105,1.05,C.Thomas,Brooklyn Nets,Atlanta Hawks,0,2.05,0.9999999999999998,0.7,1,0.8,1,0.7,1,N
11,11,11,11,N.Claxton o21.5 Pts+Rebs,JoeDellera,-125,1.0,N.Claxton,Brooklyn Nets,Atlanta Hawks,0,1.8,0.8,0.5,0,0.6,1,0.5,0,N
12,12,12,12,A.Sengun o37.5 Pts+Rebs+Ast,the_degenerates,-121,1.21,A.Sengun,Houston Rockets,Oklahoma City Thunder,1,2.21,1.0,0.3529411764705882,0,0.6,1,0.5,0,N
13,13,13,13,N.Jokic o11.5 Rebs,cowhitchurch,-140,1.0,N.Jokic,Denver Nuggets,Los Angeles Clippers,0,1.7142857142857144,0.7142857142857144,0.65,1,0.4,0,0.5,0,Y
14,14,14,14,N.Jokic o12.5 Rebs,PropBetGuy,-120,1.0,N.Jokic,Denver Nuggets,Los Angeles Clippers,0,1.8333333333333333,0.8333333333333335,0.6,1,0.4,0,0.5,0,Y
15,15,15,15,N.Jokic o12.5 Rebs,JoeDellera,105,1.05,N.Jokic,Denver Nuggets,Los Angeles Clippers,0,2.1525,1.1024999999999998,0.6,1,0.4,0,0.5,0,Y
16,16,16,16,N.Jokic o9.5 Ast,kylemurray03,105,1.05,N.Jokic,Denver Nuggets,Los Angeles Clippers,0,2.1525,1.1024999999999998,0.45,0,0.6,1,0.5,0,Y
17,20,20,20,J.Duren u12.5 Pts,SBK5065,-110,1.0,J.Duren,Detroit Pistons,Memphis Grizzlies,1,1.9090909090909087,0.9090909090909092,0.6153846153846154,1,0.6,1,0.8,1,N
18,22,22,22,J.Poole o17.5 Pts,ParlayBanditz,-105,0.95,J.Poole,Washington Wizards,Philadelphia 76ers,1,1.8547619047619048,0.9047619047619048,0.4444444444444444,0,0.6,1,0.4,0,Y
19,26,26,26,P.Siakam o20.5 Pts,PropBomb,-120,1.0,P.Siakam,Toronto Raptors,Miami Heat,1,1.8333333333333333,0.8333333333333335,0.4,0,0.4,0,0.5,0,Y
20,29,29,29,K.Thompson o17.5 Pts,ParlayBanditz,-110,1.0,K.Thompson,Golden State Warriors,Portland Trail Blazers,1,1.9090909090909087,0.9090909090909092,0.3684210526315789,0,0.6,1,0.4,0,N
