,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,1,L.James u6.5 Ast,The_Oddsmaker,-115,1.15,L.James,Los Angeles Lakers,Sacramento Kings,0,2.1499999999999995,0.9999999999999996,0.5,0,0.5,0,0.5,0,N
1,2,2,2,D.Sabonis o6.5 Ast,The_Oddsmaker,-105,1.05,D.Sabonis,Sacramento Kings,Los Angeles Lakers,1,2.05,0.9999999999999998,0.5,0,0.5,0,0.5,0,N
2,7,7,7,C.Paul o6.5 Ast,SBK5065,-110,0.5,C.Paul,Golden State Warriors,Houston Rockets,0,0.9545454545454546,0.4545454545454546,1.0,1,1.0,1,1.0,1,Y
3,8,8,8,C.Paul o6.5 Ast,JoeDellera,-114,0.44,C.Paul,Golden State Warriors,Houston Rockets,0,0.8259649122807018,0.3859649122807018,1.0,1,1.0,1,1.0,1,Y
4,9,9,9,C.Paul o6.5 Ast,PropBetGuy,-114,1.0,C.Paul,Golden State Warriors,Houston Rockets,0,1.8771929824561404,0.8771929824561404,1.0,1,1.0,1,1.0,1,Y
5,10,10,10,C.Paul o10.5 Pts,OldManWhoBets,-120,0.5,C.Paul,Golden State Warriors,Houston Rockets,0,0.9166666666666669,0.4166666666666667,0.5,0,0.5,0,0.5,0,N
6,11,11,11,S.Curry o30.5 Pts,OldManWhoBets,100,0.5,S.Curry,Golden State Warriors,Houston Rockets,0,1.0,0.5,0.5,0,0.5,0,0.5,0,N
7,12,12,12,C.Paul o9.5 Ast,JoeDellera,500,0.1,C.Paul,Golden State Warriors,Houston Rockets,0,0.6000000000000001,0.5000000000000001,0.5,0,0.5,0,0.5,0,N
8,13,13,14,J.Embiid o29.5 Pts,SBK5065,-110,0.5,J.Embiid,Philadelphia 76ers,Portland Trail Blazers,1,0.9545454545454546,0.4545454545454546,0.5,0,0.5,0,0.5,0,Y
9,15,15,16,S.Sharpe o24.5 Pts+Rebs,PropBetGuy,-105,1.0,S.Sharpe,Portland Trail Blazers,Philadelphia 76ers,0,1.9523809523809523,0.9523809523809524,0.5,0,0.5,0,0.5,0,Y
10,19,19,20,V.Wembanyama o6.5 Rebs,SportsBookBreakers,-110,1.0,V.Wembanyama,San Antonio Spurs,Los Angeles Clippers,0,1.9090909090909087,0.9090909090909092,0.5,0,0.5,0,0.5,0,N
11,21,21,22,J.Johnson o20.5 Pts+Rebs+Ast,SBK5065,100,0.75,J.Johnson,Atlanta Hawks,Milwaukee Bucks,0,1.5,0.75,1.0,1,1.0,1,1.0,1,Y
