,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,1,1,2,D.Green o5.5 Rebs,kylemurray03,-135,0.74,D.Green,Golden State Warriors,Sacramento Kings,0,1.288148148148148,0.548148148148148,0.3333333333333333,0,0.4,0,0.3333333333333333,0,Y
1,2,2,4,D.Green o11.5 Rebs+Ast,kylemurray03,-115,1.0,D.Green,Golden State Warriors,Sacramento Kings,0,1.869565217391304,0.8695652173913042,0.3333333333333333,0,0.4,0,0.3333333333333333,0,N
2,3,3,5,K.Looney o11.5 Rebs+Ast,GreenDotDaily,-135,1.0,K.Looney,Golden State Warriors,Sacramento Kings,0,1.7407407407407407,0.7407407407407407,0.6470588235294118,1,0.6,1,0.6,1,N
3,9,9,12,D.Fox o27.5 Pts,PropBetGuy,-113,1.2,D.Fox,Sacramento Kings,Golden State Warriors,1,2.261946902654868,1.0619469026548674,0.7,1,0.6,1,0.7,1,Y
4,10,10,13,K.Love o9.5 Rebs,SBK5065,425,0.43,K.Love,Miami Heat,Milwaukee Bucks,1,2.2575,1.8275,0.1818181818181818,0,0.2,0,0.1,0,Y
5,11,11,14,K.Love o6.5 Rebs,SBK5065,-125,0.8,K.Love,Miami Heat,Milwaukee Bucks,1,1.4400000000000002,0.6400000000000001,0.4545454545454545,0,0.6,1,0.4,0,Y
6,12,12,15,G.Antetokounmpo o30.5 Pts,Bettingyoda,-120,0.83,G.Antetokounmpo,Milwaukee Bucks,Miami Heat,0,1.5216666666666667,0.6916666666666668,0.5625,1,0.8,1,0.7,1,Y
7,13,13,16,G.Antetokounmpo o47.5 Pts+Rebs+Ast,Bettingyoda,-115,0.87,G.Antetokounmpo,Milwaukee Bucks,Miami Heat,0,1.6265217391304347,0.7565217391304347,0.4375,0,0.6,1,0.6,1,Y
8,14,14,17,G.Antetokounmpo u30.5 Pts,GreenDotDaily,-110,1.0,G.Antetokounmpo,Milwaukee Bucks,Miami Heat,0,1.9090909090909087,0.9090909090909092,0.4375,0,0.2,0,0.3,0,N
9,15,15,18,D.Lillard o37.5 Pts+Rebs+Ast,JoeMetz,-104,1.0,D.Lillard,Milwaukee Bucks,Miami Heat,0,1.9615384615384617,0.9615384615384616,0.4666666666666667,0,0.6,1,0.5,0,Y
10,16,16,22,B.Lopez o1.5 Blk,SBK5065,-145,0.73,B.Lopez,Milwaukee Bucks,Miami Heat,0,1.233448275862069,0.5034482758620691,0.6470588235294118,1,0.8,1,0.9,1,N
11,18,18,24,A.Sengun o36.5 Pts+Rebs+Ast,the_degenerates,-110,1.0,A.Sengun,Houston Rockets,Dallas Mavericks,0,1.9090909090909087,0.9090909090909092,0.3571428571428571,0,0.6,1,0.4,0,Y
