,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,J.Sims u4.5 Pts,cowhitchurch,-135,0.68,J.Sims,New York Knicks,Denver Nuggets,1.0,1.1837037037037037,0.5037037037037037,0.85,1,0.8,1,0.7,1
4,M.Porter o13.5 Pts,cowhitchurch,-125,0.63,M.Porter,Denver Nuggets,New York Knicks,0.0,1.134,0.5040000000000001,0.6222222222222222,1,0.6,1,0.6,1
5,M.Porter o13.5 Pts,JoeDellera,-113,1.0,M.Porter,Denver Nuggets,New York Knicks,0.0,1.8849557522123892,0.8849557522123894,0.6222222222222222,1,0.6,1,0.6,1
6,P.Siakam o20.5 Pts,gneiffer07,-110,1.1,P.Siakam,Indiana Pacers,Philadelphia 76ers,1.0,2.1,1.0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
10,S.Curry o27.5 Pts,cowhitchurch,-112,0.56,S.Curry,Golden State Warriors,Sacramento Kings,1.0,1.06,0.5,0.4473684210526316,0,0.0,0,0.2,0
11,S.Curry o27.5 Pts,JoeDellera,-108,0.5,S.Curry,Golden State Warriors,Sacramento Kings,1.0,0.962962962962963,0.462962962962963,0.4473684210526316,0,0.0,0,0.2,0
14,L.Markkanen o25.5 Pts,SportsBookBreakers,-105,1.3,L.Markkanen,Utah Jazz,Washington Wizards,0.0,2.538095238095238,1.238095238095238,0.4,0,0.6,1,0.5,0
18,J.Holiday o11.5 Pts,cowhitchurch,-124,0.62,J.Holiday,Boston Celtics,Miami Heat,0.0,1.12,0.4999999999999999,0.65,1,0.6,1,0.6,1
19,S.Hauser u6.5 Pts,SBK5065,-113,0.68,S.Hauser,Boston Celtics,Miami Heat,0.0,1.281769911504425,0.6017699115044249,0.3953488372093023,0,0.6,1,0.6,1
20,J.Holiday o11.5 Pts,JoeDellera,-125,1.0,J.Holiday,Boston Celtics,Miami Heat,0.0,1.8,0.8,0.65,1,0.6,1,0.6,1
3,J.Sims u4.5 Pts,SBK5065,-135,0.5,J.Sims,New York Knicks,Denver Nuggets,1.0,0.8703703703703703,0.3703703703703703,0.85,1,0.8,1,0.7,1
5,J.Sims u4.5 Pts,JoeDellera,-135,0.5,J.Sims,New York Knicks,Denver Nuggets,1.0,0.8703703703703703,0.3703703703703703,0.85,1,0.8,1,0.7,1
6,J.Brunson o26.5 Pts,gneiffer07,-118,1.18,J.Brunson,New York Knicks,Denver Nuggets,1.0,2.18,0.9999999999999998,0.4523809523809524,0,1.0,1,0.8,1
11,T.Maxey u29.5 Pts,cowhitchurch,-120,0.6,T.Maxey,Philadelphia 76ers,Indiana Pacers,0.0,1.1,0.5000000000000001,0.7073170731707317,1,0.8,1,0.8,1
22,A.Edwards u27.5 Pts,cowhitchurch,-115,0.58,A.Edwards,Minnesota Timberwolves,Brooklyn Nets,0.0,1.0843478260869563,0.5043478260869564,0.5365853658536586,1,0.6,1,0.5,0
