,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,Unnamed: 0.1,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,5,B.Lopez o1.5 3pt M,Milwaukee Bucks,PropBetGuy,-113,1.69,3.185575221238938,0.4099999999999983,B.Lopez,Philadelphia 76ers,1,1.495575221238938,5,0.5409836065573771,1,0.6,1,0.5,0
1,6,B.Lopez o1.5 3pt M,Milwaukee Bucks,SBK5065,-108,1.08,2.08,9.0691,B.Lopez,Philadelphia 76ers,1,1.0,6,0.5409836065573771,1,0.6,1,0.5,0
2,9,B.Lopez o1.5 3pt M,Milwaukee Bucks,PropBomb,-110,1.21,2.31,4.993399999999999,B.Lopez,Philadelphia 76ers,1,1.1,9,0.5409836065573771,1,0.6,1,0.5,0
3,12,B.Lopez o1.5 3pt M,Milwaukee Bucks,JoeDellera,-117,0.75,1.391025641025641,-11.0706,B.Lopez,Philadelphia 76ers,1,0.641025641025641,12,0.5409836065573771,1,0.6,1,0.5,0
4,15,K.Murray o2.5 3pt M,Sacramento Kings,JoeMetz,102,1.0,2.02,-1.629,K.Murray,Minnesota Timberwolves,1,1.02,15,0.4833333333333333,0,0.6,1,0.5,0
